PDF Path,Text,cleaned_text,final_cleaned_text,entities
16.pdf,"The evidence adduced by the investigation further confirms that the PDAs offered by Vendor 1 did not conform to the technical specifications of the ITB. Although the complainant offered the largest number of PDAs within the stated ceiling price, the PDAs offered were not appropriate for the designated use as set forth in the bid documents. ID/OIOS determined that the procurement exercise was conducted in accordance with the UN Financial Rules and Regulations governing procurement and with UNMIK’s Finance Administrative Instruction 2/1999 on public procurements using KCB funds.
RECOMMENDATION Based on the above, ID/OIOS makes the following the recommendation: Recommendation 1: It is recommended that UNMIK take note of ID/OIOS’ findings and conclusions and advise DRA staff members, DRA employee 2 and DRA logistics officer 1 of the result of this investigation. (ID Rec. IV04/374/01)",the evidence adduced by the investigation further confirms that the pdas offered by vendor did not conform to the technical specifications of the itb although the complainant offered the largest number of pdas within the stated ceiling price the pdas offered were not appropriate for the designated use as set forth in the bid documents idoios determined that the procurement exercise was conducted in accordance with the un financial rules and regulations governing procurement and with unmiks finance administrative instruction on public procurements using kcb funds recommendation based on the above idoios makes the following the recommendation recommendation it is recommended that unmik take note of idoios findings and conclusions and advise dra staff members dra employee and dra logistics officer of the result of this investigation (id rec iv),evidence adduced investigation confirms pda offered vendor conform technical specification itb although complainant offered largest number pda within stated ceiling price pda offered appropriate designated use set forth bid document idoios determined procurement exercise wa conducted accordance un financial rule regulation governing procurement unmiks finance administrative instruction public procurement using kcb fund recommendation based idoios make following recommendation recommendation recommended unmik take note idoios finding conclusion advise dra staff member dra employee dra logistics officer result investigation id rec iv,"[{'span': 'UN Financial Rules and Regulations', 'label': 'MEDIA', 'score': 0.866278350353241, 'char_start_index': 428, 'char_end_index': 462}]"
16.pdf,"An internal Pillar II review by the Policy Review and Internal Oversight Unit (PRIO) highlighted possible irregularities in its preliminary report on the procurement exercise with a recommendation for further investigation. This report was provided to ID/OIOS with a request for further investigation. Based on the issues raised in the complaint and subsequently in the PRIO Unit’s preliminary report, ID/OIOS investigated the entire tender process to determine whether any violations of UN rules had occurred.  

The Directorate of Rural Affairs (DRA) is located within UNMIK Civil Administration (Pillar II); it was formed in October 2001 out of the former Department of Agriculture in the Joint Administrative Interim Structure. The DRA comprises Veterinary Services & Veterinary Border Control, Phytosanitary Border Control and Public Forests. The DRA remains a reserved area under Security Council Resolution 1244 and the staff are United Nations staff members subject to the UN Rules and Regulations. Also, the DRA undertakes its own procurement for all  of the divisions within the DRA.  ",an internal pillar ii review by the policy review and internal oversight unit (prio) highlighted possible irregularities in its preliminary report on the procurement exercise with a recommendation for further investigation this report was provided to idoios with a request for further investigation based on the issues raised in the complaint and subsequently in the prio units preliminary report idoios investigated the entire tender process to determine whether any violations of un rules had occurred the directorate of rural affairs (dra) is located within unmik civil administration (pillar ii) ; it was formed in october out of the former department of agriculture in the joint administrative interim structure the dra comprises veterinary services veterinary border control phytosanitary border control and public forests the dra remains a reserved area under security council resolution and the staff are united nations staff members subject to the un rules and regulations also the dra undertakes its own procurement for all of the divisions within the dra,internal pillar ii review policy review internal oversight unit prio highlighted possible irregularity preliminary report procurement exercise recommendation investigation report wa provided idoios request investigation based issue raised complaint subsequently prio unit preliminary report idoios investigated entire tender process determine whether violation un rule occurred directorate rural affair dra located within unmik civil administration pillar ii ; wa formed october former department agriculture joint administrative interim structure dra comprises veterinary service veterinary border control phytosanitary border control public forest dra remains reserved area security council resolution staff united nation staff member subject un rule regulation also dra undertakes procurement division within dra,"[{'span': 'Policy Review and Internal Oversight Unit', 'label': 'ORG', 'score': 0.947525143623352, 'char_start_index': 36, 'char_end_index': 77}, {'span': 'Directorate of Rural Affairs', 'label': 'ORG', 'score': 0.6333609819412231, 'char_start_index': 518, 'char_end_index': 546}, {'span': 'UNMIK Civil Administration', 'label': 'ORG', 'score': 0.9270087480545044, 'char_start_index': 571, 'char_end_index': 597}, {'span': 'Department of Agriculture', 'label': 'ORG', 'score': 0.9902716279029846, 'char_start_index': 659, 'char_end_index': 684}, {'span': 'Joint Administrative Interim Structure', 'label': 'ORG', 'score': 0.7907322645187378, 'char_start_index': 692, 'char_end_index': 730}, {'span': 'Security Council Resolution 1244', 'label': 'MEDIA', 'score': 0.682485044002533, 'char_start_index': 886, 'char_end_index': 918}, {'span': 'United Nations', 'label': 'LOC', 'score': 0.5663127899169922, 'char_start_index': 937, 'char_end_index': 951}, {'span': 'UN Rules and Regulations', 'label': 'MEDIA', 'score': 0.8336952328681946, 'char_start_index': 981, 'char_end_index': 1005}]"
16.pdf,"In the preliminary PRIO report, the price estimates as stated in the EAR consultant’s inception report showed five different PDA models with integrated scanner capabilities. The prices of the PDA models shown ranged from USD $323.38 to USD $818.30. ID/OIOS adduced that the initial estimates were of regular PDAs, not the more rugged PDAs specified in the technical specifications and required for use by veterinarians working in inclement weather conditions. ID/OIOS also found that the estimates were obtained from the Internet for the inception report and did not include the features that would make it technically appropriate for the veterinarians in the field. The actual technical specifications prepared by the EAR consultant later envisaged a more rugged, durable product that would be water, dust and drop resistant. The price per unit of “rugged” PDAs, as required by the technical specifications, is higher than the initial estimate made in the inception report. ID/OIOS verified this through Internet research.",in the preliminary prio report the price estimates as stated in the ear consultants inception report showed five different pda models with integrated scanner capabilities the prices of the pda models shown ranged from usd to usd idoios adduced that the initial estimates were of regular pdas not the more rugged pdas specified in the technical specifications and required for use by veterinarians working in inclement weather conditions idoios also found that the estimates were obtained from the internet for the inception report and did not include the features that would make it technically appropriate for the veterinarians in the field the actual technical specifications prepared by the ear consultant later envisaged a more rugged durable product that would be water dust and drop resistant the price per unit of rugged pdas as required by the technical specifications is higher than the initial estimate made in the inception report idoios verified this through internet research,preliminary prio report price estimate stated ear consultant inception report showed five different pda model integrated scanner capability price pda model shown ranged usd usd idoios adduced initial estimate regular pda rugged pda specified technical specification required use veterinarian working inclement weather condition idoios also found estimate obtained internet inception report include feature would make technically appropriate veterinarian field actual technical specification prepared ear consultant later envisaged rugged durable product would water dust drop resistant price per unit rugged pda required technical specification higher initial estimate made inception report idoios verified internet research,"[{'span': 'PRIO', 'label': 'ORG', 'score': 0.9931528568267822, 'char_start_index': 19, 'char_end_index': 23}, {'span': 'EAR', 'label': 'ORG', 'score': 0.8946923017501831, 'char_start_index': 69, 'char_end_index': 72}]"
2.pdf,"The investigation conducted by the ITF clearly documented that Prishtina Airport management failed to perform their duties in accordance with the general principles outlined above. In particular, the use of the assets allocated to the ATCS by the KTA in 2002 was inadequately documented and the performance of the ATCS Finance Office in that respect was unsatisfactory. This poor performance even caused financial damage to the UNMIK Pillar 4 – KTA, as demonstrated in this report. The work of the ATCS Finance Office was under direct supervision of the ATCS Official and the oversight responsibility was in the hands of the Division Manager. Both of them in their respectful capacity failed to perform their duties according to expected standards and they failed to promote the best interest of UNMIK Pillar 4 –KTA, as their employer.",the investigation conducted by the itf clearly documented that prishtina airport management failed to perform their duties in accordance with the general principles outlined above in particular the use of the assets allocated to the atcs by the kta in was inadequately documented and the performance of the atcs finance office in that respect was unsatisfactory this poor performance even caused financial damage to the unmik pillar kta as demonstrated in this report the work of the atcs finance office was under direct supervision of the atcs official and the oversight responsibility was in the hands of the division manager both of them in their respectful capacity failed to perform their duties according to expected standards and they failed to promote the best interest of unmik pillar kta as their employer,investigation conducted itf clearly documented prishtina airport management failed perform duty accordance general principle outlined particular use asset allocated atcs kta wa inadequately documented performance atcs finance office respect wa unsatisfactory poor performance even caused financial damage unmik pillar kta demonstrated report work atcs finance office wa direct supervision atcs official oversight responsibility wa hand division manager respectful capacity failed perform duty according expected standard failed promote best interest unmik pillar kta employer,"[{'span': 'Prishtina Airport', 'label': 'LOC', 'score': 0.9988225102424622, 'char_start_index': 63, 'char_end_index': 80}, {'span': 'KTA', 'label': 'ORG', 'score': 0.6719595789909363, 'char_start_index': 247, 'char_end_index': 250}, {'span': 'ATCS Finance Office', 'label': 'ORG', 'score': 0.9544193148612976, 'char_start_index': 314, 'char_end_index': 333}]"
2.pdf,"Documentation obtained by the ITF from the Prishtina Airport clearly shows that ATCS management failed to introduce, or enforce, rules and regulations that would guarantee proper use of the allocated funds and provided transparent documentation of this process. A significant amount of the cash withdrawals by the ATCS was used for training opportunities for employees of the ATCS, who attended courses in a number of countries including Italy, Canada and the United Kingdom. Therefore, the cash advances were not all related to the ATCS Official’s travel, rather for a significant number of Employees. The necessity of the frequent travel of the ATCS Official remains questionable, as the available documentation does not provide clear proof that the ATCS Official’s travel was business related or justified.",documentation obtained by the itf from the prishtina airport clearly shows that atcs management failed to introduce or enforce rules and regulations that would guarantee proper use of the allocated funds and provided transparent documentation of this process a significant amount of the cash withdrawals by the atcs was used for training opportunities for employees of the atcs who attended courses in a number of countries including italy canada and the united kingdom therefore the cash advances were not all related to the atcs officials travel rather for a significant number of employees the necessity of the frequent travel of the atcs official remains questionable as the available documentation does not provide clear proof that the atcs officials travel was business related or justified,documentation obtained itf prishtina airport clearly show atcs management failed introduce enforce rule regulation would guarantee proper use allocated fund provided transparent documentation process significant amount cash withdrawal atcs wa used training opportunity employee atcs attended course number country including italy canada united kingdom therefore cash advance related atcs official travel rather significant number employee necessity frequent travel atcs official remains questionable available documentation doe provide clear proof atcs official travel wa business related justified,"[{'span': 'Prishtina Airport', 'label': 'LOC', 'score': 0.9998458623886108, 'char_start_index': 43, 'char_end_index': 60}, {'span': 'Italy', 'label': 'LOC', 'score': 0.999972939491272, 'char_start_index': 438, 'char_end_index': 443}, {'span': 'Canada', 'label': 'LOC', 'score': 0.9999700784683228, 'char_start_index': 445, 'char_end_index': 451}, {'span': 'United Kingdom', 'label': 'LOC', 'score': 0.9999606609344482, 'char_start_index': 460, 'char_end_index': 474}]"
2.pdf,"The ATCS Official stated that in 2002, he/she was not sufficiently experienced in financial management, therefore he/she hired Finance Officer 1 and Finance Officer 2 who both had educational background and professional experience in this field. He/she said that he/she was sure that the ATCS money was spent in line with the requests, but he/she accepted that the documentation was very poor and unacceptable, even for the minimal standards required. The ATCS Official agreed that he/she and his/her staff were diligent in requesting funds for ATCS operations, however, were generally deficient when addressing the need for proper documentation of the actual expenditures. The ATCS Official indicated that he/she trusted his/her staff; that they were professional; and it was only very recently that he/she realized that he/she should have devoted more effort to their supervision.",the atcs official stated that in heshe was not sufficiently experienced in financial management therefore heshe hired finance officer and finance officer who both had educational background and professional experience in this field heshe said that heshe was sure that the atcs money was spent in line with the requests but heshe accepted that the documentation was very poor and unacceptable even for the minimal standards required the atcs official agreed that heshe and hisher staff were diligent in requesting funds for atcs operations however were generally deficient when addressing the need for proper documentation of the actual expenditures the atcs official indicated that heshe trusted hisher staff ; that they were professional ; and it was only very recently that heshe realized that heshe should have devoted more effort to their supervision,atcs official stated heshe wa sufficiently experienced financial management therefore heshe hired finance officer finance officer educational background professional experience field heshe said heshe wa sure atcs money wa spent line request heshe accepted documentation wa poor unacceptable even minimal standard required atcs official agreed heshe hisher staff diligent requesting fund atcs operation however generally deficient addressing need proper documentation actual expenditure atcs official indicated heshe trusted hisher staff ; professional ; wa recently heshe realized heshe devoted effort supervision,"[{'span': 'ATCS Official', 'label': 'ORG', 'score': 0.9760066270828247, 'char_start_index': 4, 'char_end_index': 17}, {'span': 'ATCS Official', 'label': 'ORG', 'score': 0.900439977645874, 'char_start_index': 456, 'char_end_index': 469}, {'span': 'ATCS Official', 'label': 'ORG', 'score': 0.9240859150886536, 'char_start_index': 678, 'char_end_index': 691}]"
2.pdf,"The ATCS Official further indicated that his/her superiors approved all the bills that were in the petty cash binders, including, for example: €525,00 “Present for International Staff”; €410,00 “Present for Official 3 (Nokia 8850)”; €918,00 “Palm organizer for the ATCS Official and Official 3”; €1.176,00 “Recharging scratch cards VALA 900 (20*23.52) + (12*58.8)”; €960,00 “Payment for mobile phone” and €940,00 “Rent a car for Head of Department”. The ATCS Official stated that all the presents purchased from petty cash were also approved, however, he/she could not support this claim with any documentation. The ATCS Official added that had those bills not been authorized, the ATCS would have not been able to get further cash as the approval for further cash withdrawals was conditioned by proper documentation and certification of previous spending. He/she insisted that the sums paid for refreshments/food/restaurant bills from the petty cash fund (hundreds of Euros) were all authorized by his/her superiors, but that they did not request written justifications from him/her; the bill was allegedly sufficient proof of expenditure",the atcs official further indicated that hisher superiors approved all the bills that were in the petty cash binders including for example present for international staff ; present for official (nokia ) ; palm organizer for the atcs official and official ; recharging scratch cards vala (* ) + (* ) ; payment for mobile phone and rent a car for head of department the atcs official stated that all the presents purchased from petty cash were also approved however heshe could not support this claim with any documentation the atcs official added that had those bills not been authorized the atcs would have not been able to get further cash as the approval for further cash withdrawals was conditioned by proper documentation and certification of previous spending heshe insisted that the sums paid for refreshmentsfoodrestaurant bills from the petty cash fund (hundreds of euros) were all authorized by hisher superiors but that they did not request written justifications from himher ; the bill was allegedly sufficient proof of expenditure,atcs official indicated hisher superior approved bill petty cash binder including example present international staff ; present official nokia ; palm organizer atcs official official ; recharging scratch card vala + ; payment mobile phone rent car head department atcs official stated present purchased petty cash also approved however heshe could support claim documentation atcs official added bill authorized atcs would able get cash approval cash withdrawal wa conditioned proper documentation certification previous spending heshe insisted sum paid refreshmentsfoodrestaurant bill petty cash fund hundred euro authorized hisher superior request written justification himher ; bill wa allegedly sufficient proof expenditure,"[{'span': 'ATCS Official', 'label': 'ORG', 'score': 0.6323035359382629, 'char_start_index': 4, 'char_end_index': 17}, {'span': 'Nokia', 'label': 'ORG', 'score': 0.815139889717102, 'char_start_index': 219, 'char_end_index': 224}]"
2.pdf,"The ITF interviewed the ATCS Official on two occasions and he/she acknowledged that cases 46/2002; 49/2002; 55/2002 and 59/2002 (the time period up to 30 June 2002) all show numerous irregularities. He/she studied those files in detail and concluded that all four contained sufficient information to justify the allocation of money for the planned travel of the ATCS staff, but that the documentation of the expenses was very poor. 

The ATCS Official also acknowledged that cases 01/2002; 05/2002; 06/2002; 07/2002 and 08/2002 (the time period after 01 July 2002) also showed numerous irregularities such as missing bills to prove payments, missing signatures of ATCS staff proving that they had received the per-diem, missing flight ticket and boarding passes proving that the travel was in fact executed. The ITF concluded that it is very likely that those funds were paid to the ATCS employees on per-diem or salaries, however sufficient documentation to prove those payments was not available to the ITF investigators despite numerous attempts made in order to secure such documentation. As a matter of practice, the ATCS Official was formally certifying his/her own expenses during the business trips. The ATCS Official could not provide any acceptable explanations to those irregularities",the itf interviewed the atcs official on two occasions and heshe acknowledged that cases ; ; and (the time period up to june ) all show numerous irregularities heshe studied those files in detail and concluded that all four contained sufficient information to justify the allocation of money for the planned travel of the atcs staff but that the documentation of the expenses was very poor the atcs official also acknowledged that cases ; ; ; and (the time period after july ) also showed numerous irregularities such as missing bills to prove payments missing signatures of atcs staff proving that they had received the per diem missing flight ticket and boarding passes proving that the travel was in fact executed the itf concluded that it is very likely that those funds were paid to the atcs employees on per diem or salaries however sufficient documentation to prove those payments was not available to the itf investigators despite numerous attempts made in order to secure such documentation as a matter of practice the atcs official was formally certifying hisher own expenses during the business trips the atcs official could not provide any acceptable explanations to those irregularities,itf interviewed atcs official two occasion heshe acknowledged case ; ; time period june show numerous irregularity heshe studied file detail concluded four contained sufficient information justify allocation money planned travel atcs staff documentation expense wa poor atcs official also acknowledged case ; ; ; time period july also showed numerous irregularity missing bill prove payment missing signature atcs staff proving received per diem missing flight ticket boarding pass proving travel wa fact executed itf concluded likely fund paid atcs employee per diem salary however sufficient documentation prove payment wa available itf investigator despite numerous attempt made order secure documentation matter practice atcs official wa formally certifying hisher expense business trip atcs official could provide acceptable explanation irregularity,"[{'span': 'ATCS Official', 'label': 'ORG', 'score': 0.9344375729560852, 'char_start_index': 24, 'char_end_index': 37}, {'span': 'ATCS Official', 'label': 'ORG', 'score': 0.8427799940109253, 'char_start_index': 438, 'char_end_index': 451}, {'span': 'ATCS Official', 'label': 'ORG', 'score': 0.7672627568244934, 'char_start_index': 1122, 'char_end_index': 1135}]"
2.pdf,"The Division Manager said that the ATCS Official would bring to him/her a request in which he/she would detail the need for cash and that when the Division Manager found the justification sufficient and in line with needs of the Airport, he/she would approve it. The ATCS Official would then be responsible for the proper use of these funds and keeping the financial records of the expenditure. In fact, the ATCS Official had to sign for the bank check before it could be cashed at the bank and therefore he/she had the cash in his/her “custody”. The Division Manager indicated that it was not possible for him/her to check every bill and invoice; therefore he /she delegated the authority for financial management to the ATCS Official.",the division manager said that the atcs official would bring to himher a request in which heshe would detail the need for cash and that when the division manager found the justification sufficient and in line with needs of the airport heshe would approve it the atcs official would then be responsible for the proper use of these funds and keeping the financial records of the expenditure in fact the atcs official had to sign for the bank check before it could be cashed at the bank and therefore heshe had the cash in hisher custody the division manager indicated that it was not possible for himher to check every bill and invoice ; therefore he she delegated the authority for financial management to the atcs official,division manager said atcs official would bring himher request heshe would detail need cash division manager found justification sufficient line need airport heshe would approve atcs official would responsible proper use fund keeping financial record expenditure fact atcs official sign bank check could cashed bank therefore heshe cash hisher custody division manager indicated wa possible himher check every bill invoice ; therefore delegated authority financial management atcs official,"[{'span': 'ATCS Official', 'label': 'ORG', 'score': 0.8883306980133057, 'char_start_index': 35, 'char_end_index': 48}, {'span': 'Airport', 'label': 'LOC', 'score': 0.7386937141418457, 'char_start_index': 229, 'char_end_index': 236}, {'span': 'ATCS Official', 'label': 'ORG', 'score': 0.7388914227485657, 'char_start_index': 722, 'char_end_index': 735}]"
2.pdf,"The ITF interviewed Official 1 at Prishtina Airport. He/She stated that in May 2002 he/she travelled with the ATCS Official and Official 3 to the UK in order to negotiate conditions and fine-tune the training arrangements for the ATCS staff (request 46/2002). During this mission they all received free accommodation, all meals were provided as well as transport from Shinfield Park to London upon their return. When he/she returned to Prishtina he/she was not requested to return any of the per-diem, adding that he/she knew that the ATCS Official and Official 3 also did not return any of the allocated funds (€1158)",the itf interviewed official at prishtina airport heshe stated that in may heshe travelled with the atcs official and official to the uk in order to negotiate conditions and fine tune the training arrangements for the atcs staff (request ) during this mission they all received free accommodation all meals were provided as well as transport from shinfield park to london upon their return when heshe returned to prishtina heshe was not requested to return any of the per diem adding that heshe knew that the atcs official and official also did not return any of the allocated funds (),itf interviewed official prishtina airport heshe stated may heshe travelled atcs official official uk order negotiate condition fine tune training arrangement atcs staff request mission received free accommodation meal provided well transport shinfield park london upon return heshe returned prishtina heshe wa requested return per diem adding heshe knew atcs official official also return allocated fund,"[{'span': 'Prishtina Airport', 'label': 'LOC', 'score': 0.9999433755874634, 'char_start_index': 34, 'char_end_index': 51}, {'span': 'UK', 'label': 'LOC', 'score': 0.9984288811683655, 'char_start_index': 146, 'char_end_index': 148}, {'span': 'Shinfield Park', 'label': 'LOC', 'score': 0.9999614953994751, 'char_start_index': 368, 'char_end_index': 382}, {'span': 'London', 'label': 'LOC', 'score': 0.9999728202819824, 'char_start_index': 386, 'char_end_index': 392}, {'span': 'Prishtina', 'label': 'LOC', 'score': 0.9999309778213501, 'char_start_index': 436, 'char_end_index': 445}]"
2.pdf,"BACKGROUND INFORMATION A review of the airport’s bank accounts and documents related to airport operations, contracts, and financial matters revealed a number of cash withdrawals from the ATCS bank account, many of them in €10.000 increments. Between July 2002 and November 2003, an amount of €642.000 was withdrawn in cash. The majority of the withdrawals were identified as being for air travel and related expenses for the then the ATCS Official; similarly for other ATCS employees; and also for the so-called ‘petty cash’ purposes. The forensic audit report of February 2003 highlighted that the ATCS Official travelled frequently and questioned whether the trips were necessary, or were approved. It was established that on 01 July 2002, the new Division Manager, Airport Sector UNMIK Pillar 4 was appointed with overall responsibility for Pristina Airport. The ATCS Official was in charge of the Department, which included day to-day management of the ATCS Finance Office. Finance Officer 1 and Finance Officer 2 were employed as ATCS Finance Officers, both of them directly supervised by the ATCS Official. It should be also mentioned that the ATCS Official, Finance Officer 1 and Finance Officer 2 were working at ATCS prior to the arrival of the Division Manager.",background information a review of the airports bank accounts and documents related to airport operations contracts and financial matters revealed a number of cash withdrawals from the atcs bank account many of them in increments between july and november an amount of was withdrawn in cash the majority of the withdrawals were identified as being for air travel and related expenses for the then the atcs official ; similarly for other atcs employees ; and also for the so called petty cash purposes the forensic audit report of february highlighted that the atcs official travelled frequently and questioned whether the trips were necessary or were approved it was established that on july the new division manager airport sector unmik pillar was appointed with overall responsibility for pristina airport the atcs official was in charge of the department which included day to day management of the atcs finance office finance officer and finance officer were employed as atcs finance officers both of them directly supervised by the atcs official it should be also mentioned that the atcs official finance officer and finance officer were working at atcs prior to the arrival of the division manager,background information review airport bank account document related airport operation contract financial matter revealed number cash withdrawal atcs bank account many increment july november amount wa withdrawn cash majority withdrawal identified air travel related expense atcs official ; similarly atcs employee ; also called petty cash purpose forensic audit report february highlighted atcs official travelled frequently questioned whether trip necessary approved wa established july new division manager airport sector unmik pillar wa appointed overall responsibility pristina airport atcs official wa charge department included day day management atcs finance office finance officer finance officer employed atcs finance officer directly supervised atcs official also mentioned atcs official finance officer finance officer working atcs prior arrival division manager,"[{'span': 'Pristina Airport', 'label': 'LOC', 'score': 0.9991291165351868, 'char_start_index': 845, 'char_end_index': 861}]"
2.pdf,"IV. INVESTIGATIVE DETAILS
The ITF investigation was focused on the examination of two main areas; a) travel arrangements and cash expenses related to the official travel of ATCS staff and b) handling of the so-called ATCS petty cash. During this investigation the ITF Investigators:
• Reviewed existing procedures related to the cash withdrawals in 2002 and 2003 in view of establishing whether those procedures were properly followed and enforced by the management of ATCS; • Examined ATCS bank account and related records; • Examined the cash withdrawal requests, supporting documentation, and receipts including airline tickets, hotel bills, and other receipts;",iv investigative details the itf investigation was focused on the examination of two main areas ; a) travel arrangements and cash expenses related to the official travel of atcs staff and b) handling of the so called atcs petty cash during this investigation the itf investigators reviewed existing procedures related to the cash withdrawals in and in view of establishing whether those procedures were properly followed and enforced by the management of atcs ; examined atcs bank account and related records ; examined the cash withdrawal requests supporting documentation and receipts including airline tickets hotel bills and other receipts ;,iv investigative detail itf investigation wa focused examination two main area ; travel arrangement cash expense related official travel atcs staff b handling called atcs petty cash investigation itf investigator reviewed existing procedure related cash withdrawal view establishing whether procedure properly followed enforced management atcs ; examined atcs bank account related record ; examined cash withdrawal request supporting documentation receipt including airline ticket hotel bill receipt ;,[]
2.pdf,"The ITF investigation was focused on the examination of two main areas; a) travel arrangements and cash expenses related to the official travel of ATCS staff and b) handling of the so-called ATCS petty cash. During this investigation the ITF Investigators:
• Reviewed the so-called petty cash files and related documentation; • Cross-checked the staff details on record and their employment roles during the time period in question, including their official right to authorize cash withdrawals from ATCS bank account; • Compared signatures found on the examined documents against the signatures on the staff files; • Cross-checked specific sums against the airport “excel” cash spreadsheets and the master bank account. (Note: the “excel” spreadsheet system has been in place since mid-2002 and is used to maintain a “cashbook”); • Interviewed ATCS staff, in particular the Division Manager; the ATCS Officials; and Finance Officers 1 and 2. ITF Investigators also interviewed Official 1 at Prishtina Airport, and the Official 2 at Prishtina Airport.",the itf investigation was focused on the examination of two main areas ; a) travel arrangements and cash expenses related to the official travel of atcs staff and b) handling of the so called atcs petty cash during this investigation the itf investigators reviewed the so called petty cash files and related documentation ; cross checked the staff details on record and their employment roles during the time period in question including their official right to authorize cash withdrawals from atcs bank account ; compared signatures found on the examined documents against the signatures on the staff files ; cross checked specific sums against the airport excel cash spreadsheets and the master bank account (note the excel spreadsheet system has been in place since mid and is used to maintain a cashbook) ; interviewed atcs staff in particular the division manager ; the atcs officials ; and finance officers and itf investigators also interviewed official at prishtina airport and the official at prishtina airport,itf investigation wa focused examination two main area ; travel arrangement cash expense related official travel atcs staff b handling called atcs petty cash investigation itf investigator reviewed called petty cash file related documentation ; cross checked staff detail record employment role time period question including official right authorize cash withdrawal atcs bank account ; compared signature found examined document signature staff file ; cross checked specific sum airport excel cash spreadsheet master bank account note excel spreadsheet system ha place since mid used maintain cashbook ; interviewed atcs staff particular division manager ; atcs official ; finance officer itf investigator also interviewed official prishtina airport official prishtina airport,"[{'span': 'Prishtina Airport', 'label': 'LOC', 'score': 0.9994184970855713, 'char_start_index': 991, 'char_end_index': 1008}, {'span': 'Prishtina Airport', 'label': 'LOC', 'score': 0.9983938336372375, 'char_start_index': 1032, 'char_end_index': 1049}]"
2.pdf,"During the review of available documentation, the ITF investigators identified a number of problems related to the existing procedures and practices at ATCS Finance Office. Having finalized the document review they interviewed available ATCS staff that was directly involved in approving the cash withdrawals and subsequently ATCS staff that handled the cash and related documentation at the ATCS Finance Office, or that travelled on training to Italy and the United Kingdom. The ITF interviewed Finance Officer 1, working at ATCS Finance Office during the period September 2000 to December 2003. Finance Officer 1 described the procedures that were in place during 2002 and 2003 and identified Employee 1, Employee 2 and the Division Manager as “A” class signatories and Employee 3, Employee 4, Employee 5 and the ATCS Official as “B” class signatories for the UNMIK Aviation Transport and Airport Prishtina bank accounts. Those listed “A” class signatories were the only people authorized to withdraw cash from the ATCS bank accounts.",during the review of available documentation the itf investigators identified a number of problems related to the existing procedures and practices at atcs finance office having finalized the document review they interviewed available atcs staff that was directly involved in approving the cash withdrawals and subsequently atcs staff that handled the cash and related documentation at the atcs finance office or that travelled on training to italy and the united kingdom the itf interviewed finance officer working at atcs finance office during the period september to december finance officer described the procedures that were in place during and and identified employee employee and the division manager as a class signatories and employee employee employee and the atcs official as b class signatories for the unmik aviation transport and airport prishtina bank accounts those listed a class signatories were the only people authorized to withdraw cash from the atcs bank accounts,review available documentation itf investigator identified number problem related existing procedure practice atcs finance office finalized document review interviewed available atcs staff wa directly involved approving cash withdrawal subsequently atcs staff handled cash related documentation atcs finance office travelled training italy united kingdom itf interviewed finance officer working atcs finance office period september december finance officer described procedure place identified employee employee division manager class signatory employee employee employee atcs official b class signatory unmik aviation transport airport prishtina bank account listed class signatory people authorized withdraw cash atcs bank account,"[{'span': 'ATCS Finance Office', 'label': 'ORG', 'score': 0.8527779579162598, 'char_start_index': 152, 'char_end_index': 171}, {'span': 'ATCS Finance Office', 'label': 'ORG', 'score': 0.92963045835495, 'char_start_index': 392, 'char_end_index': 411}, {'span': 'Italy', 'label': 'LOC', 'score': 0.9999500513076782, 'char_start_index': 446, 'char_end_index': 451}, {'span': 'United Kingdom', 'label': 'LOC', 'score': 0.999734103679657, 'char_start_index': 460, 'char_end_index': 474}, {'span': 'ATCS Finance Office', 'label': 'ORG', 'score': 0.7519327998161316, 'char_start_index': 526, 'char_end_index': 545}, {'span': 'UNMIK Aviation Transport and Airport Prishtina', 'label': 'ORG', 'score': 0.7937337756156921, 'char_start_index': 862, 'char_end_index': 908}]"
