count,entity,label,location_info
3,Copenhagen,LOC,"{'place_id': 136669950, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 13707878, 'lat': '55.6867243', 'lon': '12.5700724', 'class': 'place', 'type': 'city', 'place_rank': 15, 'importance': 0.7694250381526939, 'addresstype': 'city', 'name': 'København', 'display_name': 'København, Københavns Kommune, Region Hovedstaden, 1357, Danmark', 'boundingbox': ['55.5267243', '55.8467243', '12.4100724', '12.7300724']}"
11,United Arab Emirates,LOC,"{'place_id': 40345205, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 307763, 'lat': '24.0002488', 'lon': '53.9994829', 'class': 'boundary', 'type': 'administrative', 'place_rank': 4, 'importance': 0.7695934440598011, 'addresstype': 'country', 'name': 'الإمارات العربية المتحدة', 'display_name': 'الإمارات العربية المتحدة', 'boundingbox': ['22.6316214', '26.1517219', '51.4160714', '56.6024458']}"
4,Denmark,LOC,"{'place_id': 152784309, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 50046, 'lat': '55.670249', 'lon': '10.3333283', 'class': 'boundary', 'type': 'administrative', 'place_rank': 4, 'importance': 0.8582844874294396, 'addresstype': 'country', 'name': 'Danmark', 'display_name': 'Danmark', 'boundingbox': ['54.4516667', '57.9524297', '7.7153255', '15.5530641']}"
1,WNBA,ORG,"(None, None)"
1,Brittney Griner,PER,"(None, None)"
19,Moscow,LOC,"{'place_id': 298851227, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 121430, 'lat': '46.7323875', 'lon': '-117.000165', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.5408263784386295, 'addresstype': 'town', 'name': 'Moscow', 'display_name': 'Moscow, Latah County, Idaho, United States', 'boundingbox': ['46.6986975', '46.7586080', '-117.0398820', '-116.9605363']}"
2,Griner,PER,"{'place_id': 286391522, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 9026750, 'lat': '31.21322205', 'lon': '-83.25455485', 'class': 'highway', 'type': 'residential', 'place_rank': 26, 'importance': 0.05335803387502858, 'addresstype': 'road', 'name': 'Griner', 'display_name': 'Griner, Nashville, Berrien County, Georgia, 31639, United States', 'boundingbox': ['31.2128562', '31.2135879', '-83.2546405', '-83.2544692']}"
1,Maria Blagovolina,PER,"(None, None)"
1,Code of Criminal Procedure,MEDIA,"(None, None)"
1,Dmitry Gladyshev,PER,"(None, None)"
1,Alexander Korablyov,PER,"(None, None)"
1,Environmental Protection Agency,ORG,"{'place_id': 256122989, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 144934211, 'lat': '52.2955784', 'lon': '-6.501876318509904', 'class': 'building', 'type': 'office', 'place_rank': 30, 'importance': 0.3330873891249597, 'addresstype': 'building', 'name': 'Environmental Protection Agency', 'display_name': 'Environmental Protection Agency, L3041, Rathaspick ED, The Borough District of Wexford, County Wexford, Leinster, Y35 HP22, Éire / Ireland', 'boundingbox': ['52.2951480', '52.2960157', '-6.5027070', '-6.5009547']}"
1,Scott Pruitt,PER,"(None, None)"
1,Government Accountability Office,ORG,"{'place_id': 321266055, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 48040885, 'lat': '38.8992298', 'lon': '-77.01725459453226', 'class': 'office', 'type': 'government', 'place_rank': 30, 'importance': 8.492942702368227e-05, 'addresstype': 'office', 'name': 'Government Accountability Office', 'display_name': 'Government Accountability Office, 441, G Street Northwest, Ward 6, Washington, District of Columbia, 20548, United States', 'boundingbox': ['38.8985314', '38.8996169', '-77.0186768', '-77.0164204']}"
2,Congress,ORG,"{'place_id': 296894257, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 253579, 'lat': '34.162526', 'lon': '-112.850737', 'class': 'place', 'type': 'locality', 'place_rank': 25, 'importance': 0.41168512484557396, 'addresstype': 'village', 'name': 'Congress', 'display_name': 'Congress, Yavapai County, Arizona, 85332, United States', 'boundingbox': ['34.0625270', '34.2451550', '-112.9301700', '-112.8014050']}"
2,EPA,ORG,"{'place_id': 285217723, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 8747476636, 'lat': '10.432718', 'lon': '-66.8704725', 'class': 'amenity', 'type': 'bank', 'place_rank': 30, 'importance': 0.19634734818319707, 'addresstype': 'amenity', 'name': '100% Banco', 'display_name': '100% Banco, Pasarela del EPA, Barrio La Palomera, Baruta, Caracas, Parroquia Nuestra Señora del Rosario, Municipio Baruta, Miranda, 1080, Venezuela', 'boundingbox': ['10.4326680', '10.4327680', '-66.8705225', '-66.8704225']}"
1,Antideficiency Act,MEDIA,"(None, None)"
1,Julie Matta,PER,"{'place_id': 71348671, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 3361869938, 'lat': '45.9541844', 'lon': '12.9336708', 'class': 'amenity', 'type': 'pub', 'place_rank': 30, 'importance': 6.0344090943724994e-05, 'addresstype': 'amenity', 'name': 'La Casa Matta', 'display_name': 'La Casa Matta, Via Codroipo, Biauzzo, Codroipo, Udine, Friuli-Venezia Giulia, 33033, Italia', 'boundingbox': ['45.9541344', '45.9542344', '12.9336208', '12.9337208']}"
1,congressional Democrats,ORG,"(None, None)"
4,Estonia,LOC,"{'place_id': 157443020, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 79510, 'lat': '58.7523778', 'lon': '25.3319078', 'class': 'boundary', 'type': 'administrative', 'place_rank': 4, 'importance': 0.8112022942295085, 'addresstype': 'country', 'name': 'Eesti', 'display_name': 'Eesti', 'boundingbox': ['57.5093328', '59.9383333', '21.3826069', '28.2100175']}"
1,Aurimas Skirgaila,PER,"(None, None)"
1,Tartu County Court,LOC,"(None, None)"
1,South District,LOC,"{'place_id': 224617625, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 316417137, 'lat': '27.333333', 'lon': '88.416667', 'class': 'place', 'type': 'county', 'place_rank': 12, 'importance': 0.24003750133516438, 'addresstype': 'county', 'name': 'South District', 'display_name': 'South District, Namchi, Sikkim, 737139, India', 'boundingbox': ['26.6333330', '28.0333330', '87.7166670', '89.1166670']}"
1,Aro Siinmaa,PER,"(None, None)"
1,Helsinki District Court,ORG,"{'place_id': 154471283, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 7093026, 'lat': '60.16356555', 'lon': '24.901108209223906', 'class': 'building', 'type': 'civic', 'place_rank': 30, 'importance': 0.2362704262613719, 'addresstype': 'building', 'name': 'Oikeustalo', 'display_name': 'Oikeustalo, 13, Porkkalankatu, Salmisaari, Ruoholahti, Länsisatama, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, 00180, Suomi / Finland', 'boundingbox': ['60.1627759', '60.1643198', '24.8995900', '24.9028146']}"
3,Helsinki,LOC,"{'place_id': 155717463, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 34914, 'lat': '60.1674881', 'lon': '24.9427473', 'class': 'boundary', 'type': 'administrative', 'place_rank': 15, 'importance': 0.7854271852899101, 'addresstype': 'city', 'name': 'Helsinki', 'display_name': 'Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi / Finland', 'boundingbox': ['59.9224860', '60.2978497', '24.7828026', '25.2545116']}"
3,Finland,LOC,"{'place_id': 252587030, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 54224, 'lat': '63.2467777', 'lon': '25.9209164', 'class': 'boundary', 'type': 'administrative', 'place_rank': 4, 'importance': 0.8654043551020605, 'addresstype': 'country', 'name': 'Suomi / Finland', 'display_name': 'Suomi / Finland', 'boundingbox': ['59.4541578', '70.0922930', '19.0832000', '31.5867071']}"
1,Teemu Juhani Kirves,PER,"(None, None)"
5,Sweden,LOC,"{'place_id': 154692625, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 52822, 'lat': '59.6749712', 'lon': '14.5208584', 'class': 'boundary', 'type': 'administrative', 'place_rank': 4, 'importance': 0.8983130118861763, 'addresstype': 'country', 'name': 'Sverige', 'display_name': 'Sverige', 'boundingbox': ['55.1370957', '69.0599735', '10.5935025', '24.1776819']}"
1,Angjelin Sterkaj,PER,"(None, None)"
1,Armando Beqirai,PER,"(None, None)"
1,Rauðagerði,LOC,"{'place_id': 253378594, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 10655116, 'lat': '64.12595042984496', 'lon': '-21.85839162985899', 'class': 'highway', 'type': 'residential', 'place_rank': 26, 'importance': 0.053405194934004696, 'addresstype': 'road', 'name': 'Rauðagerði', 'display_name': 'Rauðagerði, Gerði, Háaleiti og Bústaðir, Reykjavíkurborg, Höfuðborgarsvæðið, 104, Ísland', 'boundingbox': ['64.1239985', '64.1265460', '-21.8628226', '-21.8542859']}"
2,Reykjavík,LOC,"{'place_id': 253367681, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 2580605, 'lat': '64.145981', 'lon': '-21.9422367', 'class': 'boundary', 'type': 'administrative', 'place_rank': 11, 'importance': 0.6678911755123208, 'addresstype': 'city', 'name': 'Reykjavíkurborg', 'display_name': 'Reykjavíkurborg, Höfuðborgarsvæðið, Ísland', 'boundingbox': ['64.0404021', '64.3153711', '-21.9838299', '-21.4019991']}"
1,Rauðagerði Case,LOC,"(None, None)"
